"COSUBFONTERECEITA","NOSUBFONTERECEITA"
"100","Receitas Correntes                                                    "
"110","Impostos, Taxas e Contribuições de Melhoria                           "
"111","Impostos                                                              "
"112","Taxas                                                                 "
"113","Contribuição de Melhoria                                              "
"120","Contribuições                                                         "
"121","Contribuições Sociais                                                 "
"122","Contribuições Econômicas                                              "
"123","Contribuições para Entidades Privadas de Serviço Social e de Formação "
"124","Contribuição para o Custeio do Serviço de Iluminação Pública          "
"130","Receita Patrimonial                                                   "
"131","Exploração do Patrimônio Imobiliário do Estado                        "
"132","Valores Mobiliários                                                   "
"133","Delegação de Serviços Públicos Mediante Concessão, Permissão, Autoriza"
"134","Exploração de Recursos Naturais                                       "
"135","Exploração do Patrimônio Intangível                                   "
"139","Demais Receitas Patrimoniais                                          "
"140","Receita Agropecuária                                                  "
"141","Receita Agropecuária                                                  "
"150","Receita Industrial                                                    "
"151","Receita Industrial                                                    "
"160","Receita de Serviços                                                   "
"161","Serviços Administrativos e Comerciais Gerais                          "
"162","Serviços e Atividades Referentes à Navegação e ao Transporte          "
"163","Serviços e Atividades Referentes à Saúde                              "
"164","Serviços e Atividades Financeiras                                     "
"169","Outros Serviços                                                       "
"170","Transferências Correntes                                              "
"171","Transferências da União e de suas Entidades                           "
"172","Transferências dos Estados e do Distrito Federal e de suas Entidades  "
"173","Transferências dos Municípios e de suas Entidades                     "
"174","Transferências de Instituições Privadas                               "
"175","Transferências de Outras Instituições Públicas                        "
"176","Transferências do Exterior                                            "
"179","Demais Transferências Correntes                                       "
"190","Outras Receitas Correntes                                             "
"191","Multas Administrativas, Contratuais e Judiciais                       "
"192","Indenizações, Restituições e Ressarcimentos                           "
"193","Bens, Direitos e Valores Incorporados ao Patrimônio Público           "
"194","Multas e Juros de Mora das Receitas de Capital                        "
"199","Demais Receitas Correntes                                             "
"200","Receitas de Capital                                                   "
"210","Operações de Crédito                                                  "
"211","Operações de Crédito - Mercado Interno                                "
"212","Operações de Crédito - Mercado Externo                                "
"220","Alienação de Bens                                                     "
"221","Alienação de Bens Móveis                                              "
"222","Alienação de Bens Imóveis                                             "
"223","Alienação de Bens Intangíveis                                         "
"230","Amortização de Empréstimos                                            "
"231","Amortização de Empréstimos                                            "
"240","Transferências de Capital                                             "
"241","Transferências da União e de suas Entidades                           "
"242","Transferências dos Estados e do Distrito Federal e de suas Entidades  "
"243","Transferências dos Municípios e de suas Entidades                     "
"244","Transferências de Instituições Privadas                               "
"245","Transferências de Outras Instituições Públicas                        "
"246","Transferências do Exterior                                            "
"249","Demais Transferências de Capital                                      "
"290","Outras Receitas de Capital                                            "
"291","Integralização de Capital Social                                      "
"293","Remuneração das Disponibilidades do Tesouro                           "
"294","Resgate de Títulos do Tesouro                                         "
"299","Demais Receitas de Capital                                            "
"700","Receitas Correntes Intra Orçamentária                                 "
"710","Impostos, Taxas e Contribuições de Melhoria - Intra                   "
"711","Impostos Intra                                                        "
"712","Taxas                                                                 "
"720","Contribuições                                                         "
"721","Contribuições Sociais                                                 "
"730","Receita Patrimonial                                                   "
"731","Exploração do Patrimônio Imobiliário do Estado                        "
"760","Receita de Serviços                                                   "
"761","Serviços Administrativos e Comerciais Gerais                          "
"762","Serviços e Atividades Referentes à Navegação e ao Transporte          "
"763","Serviços e Atividades Referentes à Saúde                              "
"769","Outros Serviços                                                       "
"770","Transferências Correntes Intra Orçamentária                           "
"772","Transferências dos Estados e do Distrito Federal e de suas Entidades  "
"790","Outras Receitas Correntes                                             "
"791","Multas Administrativas, Contratuais e Judiciais                       "
"792","Indenizações, Restituições e Ressarcimentos                           "
"799","Demais Receitas Correntes                                             "
"900","Recursos Arrecadados em Exercícios Anteriores                         "
"990","Recursos Arrecadados em Exercícios Anteriores                         "
"999","Recursos Arrecadados em Exercícios Anteriores                         "
