"COFONTE","NOFONTE","INTIPOFONTE","INFONTETESOURO","INSTATUS","ULTALTERACAO","TXDESCRICAO","INDESTINACAO","COFONTEFEDERAL"
132016912,"AQUISIÇÃO DE VIATURA DO TIPO UR PARA O CBMDF      ","9","N",0,"20250206115307 03222804192","MODERNIZAÇÃO DO CORPO DE BOMBEIROS MILITAR DO DISTRITO FEDERAL POR MEIO DA AQUISIÇÃO DE 1 (UMA) VIATURA TIPO UNIDADE DE RESGATE - UR.
                                                                                                                   ",2,1700
332016912,"AQUISIÇÃO DE VIATURA DO TIPO UR PARA O CBMDF      ","9","N",0,"20250206115307 03222804192","MODERNIZAÇÃO DO CORPO DE BOMBEIROS MILITAR DO DISTRITO FEDERAL POR MEIO DA AQUISIÇÃO DE 1 (UMA) VIATURA TIPO UNIDADE DE RESGATE - UR.
                                                                                                                   ",2,2700
738128641,"EPI PROPOSTA:12116247000124079                    ","9","N",0,"20250319181048 55345646104","EPI PROPOSTA:12116247000124079",2,1601
838128641,"EPI PROPOSTA:12116247000124079                    ","9","N",0,"20250319181048 55345646104","EPI PROPOSTA:12116247000124079",2,2601
738128645,"EPI PROPOSTA:12116247000124116                    ","9","N",0,"20250319181343 55345646104","EPI PROPOSTA:12116247000124116",2,1601
838128645,"EPI PROPOSTA:12116247000124116                    ","9","N",0,"20250319181343 55345646104","EPI PROPOSTA:12116247000124116",2,2601
121216357,"PAR Nº 201701017;                                 ","9","N",0,"20250409152652 56401698187","AQUISIÇÃO DE INSTRUMENTOS MUSICAIS (KIT BANDA), FORMALIZADO ENTRE A SECRETARIA DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL (SEEDF) E O FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO (FNDE)",2,1569
321216357,"PAR Nº 201701017;                                 ","9","N",0,"20250409152652 56401698187","AQUISIÇÃO DE INSTRUMENTOS MUSICAIS (KIT BANDA), FORMALIZADO ENTRE A SECRETARIA DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL (SEEDF) E O FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO (FNDE)",2,2569
732028607,"PAPA/DF E PAA/TA                                  ","9","N",0,"20250414122243 56401698187"," CONVÊNIO A SER FIRMADO COM ESTA SECRETARIA, CUJO OBJETO É A ESTRUTURAÇÃO DAS ATIVIDADES DE COMPRAS COM DOAÇÃO SIMULTÂNEAS NOS PROGRAMAS DE COMPRAS INSTITUCIONAIS DO PAPA/DF E PAA/TA.",2,1700
832028607,"PAPA/DF E PAA/TA                                  ","9","N",0,"20250414122243 56401698187"," CONVÊNIO A SER FIRMADO COM ESTA SECRETARIA, CUJO OBJETO É A ESTRUTURAÇÃO DAS ATIVIDADES DE COMPRAS COM DOAÇÃO SIMULTÂNEAS NOS PROGRAMAS DE COMPRAS INSTITUCIONAIS DO PAPA/DF E PAA/TA.",2,2700
