"COALINEA","NOALINEA"
"192208","Restituição de Garantias Prestadas                                    "
"192209","Restituição de Recursos de Fomento                                    "
"732101","Remuneração de Depósitos Bancários                                    "
"732100","Juros e Correções Monetárias                                          "
"792299","Outras Restituições                                                   "
"711303","Imposto sobre a Renda - Retido na Fonte                               "
"772499","OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS DOS ESTADOS E DF E DE SUAS ENTIDADE"
"211255","Operações de Crédito Internas para Refinanciamento da Dívida Contratua"
"211256","Operações de Crédito Internas para Programas de Moradia Popular       "
"211999","Outras Operações de Crédito - Mercado Interno                         "
"293100","Remuneração das Disponibilidades do Tesouro                           "
"294100","Resgate de Títulos do Tesouro                                         "
"171451","Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto "
"172300","Transferências de Recursos do Sistema Único de Saúde ¿ SUS            "
"172951","Transferências de Estados destinadas à Assistência Social             "
"172450","Transferências de Convênio dos Estados para o Sistema Único de Saúde -"
"243950","Transferências de Municípios a Consórcios Públicos                    "
"163201","Serviços de Assistência à Saúde Suplementar do Servidor Civil         "
"711450","Impostos sobre a Produção, circulação de Mercadorias e Serviços       "
"711451","Imposto sobre Serviços                                                "
"171957","Transferência Especial da União                                       "
"191111","Multa por Descumprimento de Obrigação Previdenciária Acessória        "
"171152","Cota-Parte do Imposto Sobre a Propriedade Territorial Rural           "
"171155","Cota-Parte do Imposto Sobre Operações de Crédito, Câmbio e Seguro, ou "
"171700","Transferências de Convênios da União e de Suas Entidades              "
"171751","Transferências de Convênios da União Destinadas a Programas de Educaçã"
"171754","Transferências de Convênios da União Destinadas a Programas de Saneame"
"246100","Transferências do Exterior                                            "
"246150","Transferências do Exterior para Programas de Saúde                    "
"199910","Reserva Global de Reversão                                            "
"721500","Contribuições para  Regimes Próprios de Previdência e Sistema de Prote"
"173251","Transferências de Convênio dos Municípios destinadas a Programas de Ed"
"172150","Cota-Parte do ICMS                                                    "
"172153","Cota-Parte da Contribuição de Intervenção no Domínio Econômico        "
"194900","Multas e Juros de Mora de Outras Receitas de Capital                  "
"199916","Títulos Executivos Extrajudiciais                                     "
"193105","Receitas Reconhecidas por Força de Decisões Judiciais e de Tribunais A"
"191114","Multas Previstas no Código de Trânsito Brasileiro - CTB               "
"194000","Multas e Juros de Mora das Receitas de Capital                        "
"194103","Multas e Juros de Mora de Bens Móveis e Semoventes                    "
"199900","Outras Receitas Correntes                                             "
"244100","Transferências de Instituições Privadas                               "
"193103","Depósitos Abandonados (Dinheiro e/ou Objetos de Valor)                "
"242253","Transferências de Convênios dos Estados destinadas a Programas de Meio"
"242951","Transferências de Recursos Destinados a Programas de Educação         "
"193101","Bens, Direitos e Valores Perdidos em Favor do Poder Público           "
"245100","Transferências de Outras Instituições Públicas                        "
"249000","Demais Transferências de Capital                                      "
"191107","Multas Aplicadas pelos Tribunais de Contas                            "
"141100","Receita Agropecuária                                                  "
"194203","Multas e Juros de Mora do Adicional sobre Alienações de Bens Imóveis  "
"194403","Multas e Juros de Mora de Amortização de Empréstimos - Estados e Munic"
"162102","Serviços de Transporte de Passageiros ou Mercadorias                  "
"791114","Multas Previstas no Código de Trânsito Brasileiro - CTB               "
"171959","Transferência de Recursos do Fundo de Amparo ao Trabalhador - FAT     "
"212251","Operações de Crédito Externas para Programas de Saúde                 "
"212254","Operações de Crédito Externas para Programas de Modernização da Admini"
"243251","Transferências de Convênios dos Municípios destinados a Programas de E"
"799999","Outras Receitas                                                       "
"246101","Transferências do Exterior para Órgãos e Entidades da União           "
"171498","Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da "
"174151","Transferências de Convênios de Instituições Privadas para Programas de"
"176151","Transferência de Convênios do Exterior - Programas de Educação        "
"179101","Transferências de Pessoas Físicas para Órgãos e Entidades da União    "
"134601","Concessão de Florestas Nacionais                                      "
"175999","Demais Transferências de Outras Instituições Públicasda               "
"132103","Remuneração de Saldos de Recursos Não-Desembolsados                   "
"135100","Exploração do Patrimônio Intangível                                   "
"799912","Encargos Legais pela Inscrição em Dívida Ativa e Receitas de Ônus de S"
"242252","Transferências de Convênios dos Estados destinadas a Programas de Sane"
"242900","Outras Transferências de Recursos dos Estados                         "
"191109","Multas e Juros Previstos em Contratos                                 "
"191110","Multas Previstas na Legislação sobre Regime de Previdência Privada Com"
"175100","Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da"
"242100","Transferências de Recursos do Sistema Único de Saúde - SUS dos Estados"
"242150","Transferências de Recursos do Sistema Único de Saúde - SUS            "
"242200","Transferências de Convênios dos Estados e DF e de Suas Entidades      "
"242201","Transferências de Convênios dos Estados e DF e de Suas Entidades para "
"173200","Transferências de Convênios dos Municípios e de Suas Entidades        "
"173250","Transferências de Convênio dos Municípios para o Sistema Único de Saúd"
"124100","Contribuição para o Custeio do Serviço de Iluminação Pública          "
"172400","Transferência de Convênios dos Estados e do Distrito Federal e de Suas"
"172451","Transferências de Convênio dos Estados Destinadas a Programas de Educa"
"173100","Transferências de Recursos do Sistema Único de Saúde - SUS            "
"173950","Transferências de Municípios a Consórcios Públicos                    "
