"CORUBRICA","NORUBRICA"
"1000","Receitas Correntes                                                    "
"1100","Impostos, Taxas e Contribuições de Melhoria                           "
"1110","Impostos                                                              "
"1112","Impostos sobre o Patrimônio                                           "
"1113","Impostos sobre a Renda e Proventos de Qualquer Natureza               "
"1114","Impostos sobre a Produção, Circulação de Mercadorias e Serviços       "
"1119","Outros Impostos                                                       "
"1120","Taxas                                                                 "
"1121","Taxas pelo Exercício do Poder de Polícia                              "
"1122","Taxas pela Prestação de Serviços                                      "
"1128","Taxas - Específicas de Estados, DF e Municípios                       "
"1130","Contribuição de Melhoria                                              "
"1131","Contribuição de Melhoria                                              "
"1200","Contribuições                                                         "
"1210","Contribuições Sociais                                                 "
"1211","Contribuição para Financiamento da Seguridade Social - COFINS         "
"1212","Contribuição para o Programa de Integração Social e para Programa de F"
"1215","Contribuições para  Regimes Próprios de Previdência e Sistema de Prote"
"1216","Contribuição para Fundos de Assistência Médico-Hospitalar e Social    "
"1217","Contribuições sobre Concursos de Prognósticos e Sorteios              "
"1220","Contribuições Econômicas                                              "
"1221","Contribuições Econômicas                                              "
"1230","Contribuições para Entidades Privadas de Serviço Social e de Formação "
"1231","Contribuições para Entidades Privadas de Serviço Social e de Formação "
"1240","Contribuição para o Custeio do Serviço de Iluminação Pública          "
"1241","Contribuição para o Custeio do Serviço de Iluminação Pública          "
"1300","Receita Patrimonial                                                   "
"1310","Exploração do Patrimônio Imobiliário do Estado                        "
"1311","Exploração do Patrimônio Imobiliário do Estado                        "
"1320","Valores Mobiliários                                                   "
"1321","Juros e Correções Monetárias                                          "
"1322","Dividendos                                                            "
"1323","Participações                                                         "
"1329","Outros Valores Mobiliários                                            "
"1330","Delegação de Serviços Públicos Mediante Concessão, Permissão, Autoriza"
"1331","Delegação para a Prestação dos Serviços de Transporte                 "
"1332","Delegação dos Serviços de Infraestrutura                              "
"1333","Delegação dos Serviços de Telecomunicação                             "
"1334","Concessão para Prestação de Serviços de Energia Elétrica              "
"1339","Demais Delegações de Serviços Públicos                                "
"1340","Exploração de Recursos Naturais                                       "
"1341","Petróleo - Regime de Concessão                                        "
"1342","Petróleo - Regime de Cessão Onerosa                                   "
"1343","Petróleo - Regime de Partilha de Produção                             "
"1344","Exploração de Recursos Minerais                                       "
"1345","Exploração de Recursos Hídricos                                       "
"1346","Exploração de Recursos Florestais                                     "
"1349","Exploração de Outros Recursos Naturais                                "
"1350","Exploração do Patrimônio Intangível                                   "
"1351","Exploração do Patrimônio Intangível                                   "
"1390","Demais Receitas Patrimoniais                                          "
"1399","Outras Receitas Patrimoniais                                          "
"1400","Receita Agropecuária                                                  "
"1410","Receita Agropecuária                                                  "
"1411","Receita Agropecuária                                                  "
"1500","Receita Industrial                                                    "
"1510","Receita Industrial                                                    "
"1511","Receita Industrial                                                    "
"1600","Receita de Serviços                                                   "
"1610","Serviços Administrativos e Comerciais Gerais                          "
"1611","Serviços Administrativos e Comerciais Gerais                          "
"1620","Serviços e Atividades Referentes à Navegação e ao Transporte          "
"1621","Serviços e Atividades Referentes à Navegação e ao Transporte          "
"1630","Serviços e Atividades Referentes à Saúde                              "
"1631","Serviços de Atendimento à Saúde                                       "
"1632","Serviços de Assistência à Saúde de Servidores Civis e Militares       "
"1640","Serviços e Atividades Financeiras                                     "
"1641","Serviços e Atividades Financeiras                                     "
"1690","Outros Serviços                                                       "
"1699","Outros Serviços                                                       "
"1700","Transferências Correntes                                              "
"1710","Transferências da União e de suas Entidades                           "
"1711","Transferências Decorrentes de Participação na Receita da União        "
"1712","Transferência da Compensação Financeira pela Exploração de Recursos Na"
"1713","Transferências de Recursos do Sistema Único de Saúde - SUS            "
